Output Stocks,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,2031Q1,2031Q2,2031Q3,2031Q4,2032Q1,2032Q2,2032Q3,2032Q4,2033Q1,2033Q2,2033Q3,2033Q4,2034Q1,2034Q2,2034Q3,2034Q4
Revenue,0.0,0.0,0.0,0.0,13022.0,22245.120000000003,28026.09695,37367.03125,39001.18335706511,114823.91362826937,115025.08791864736,115922.83232632693,121341.11721183984,222551.96813941578,229975.7316261991,234489.43107115064,248875.90226079966,261811.54778633095,273906.28160566743,285839.5742162821,288448.2110631763,292227.03202813206,295619.3889487931,298563.886292843,295889.2855194226,296968.7581630641,357918.3635617386,357890.84883035143,385783.34019298916,385723.5084984585,405692.6951624882,405662.20740538184,425641.68165998673,425613.2466410127,445593.863542458,445567.2925676985,465548.9607918982,465524.08720561117,485506.7251828733,485483.4013027148
Revenue Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77715.41143168985,76174.11673335516,76664.15322580631,81919.31653040722,87576.88790426396,92494.30918201395,97604.17397108309,96080.79336136248,94664.83154765135,93259.67637264454,91011.9008605095,95234.31812719228,99832.11705953917,105266.19563716368,109764.7644440794,109668.71941217539,108842.10587575533,108905.51831803715,108138.95934679327,108215.56946398731,107504.15752625909,107592.55113454929,106949.27055858375,107056.37801337843,106458.70657607784,106574.4068567703,106018.85194034791,106142.17632428175,105625.58084722268,105755.65680654265,105275.15885020701
Revenue Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7921.444952035436,5449.774002475499,6918.265221017115,6276.286764705878,6732.805041958886,6461.70825635678,6675.53199011166,6111.299398061434,5988.0262975738815,5982.051172271545,5967.274582749318,6334.231196376637,6691.072616117863,6931.07474529809,7147.762132767704,7010.968853847436,6865.389298244491,6861.776978824408,6849.586962579379,6846.649005756246,6835.489486466839,6833.173298577598,6839.177864011571,6845.074946225044,6850.866280099679,6856.553579580077,6862.138537650612,6867.622826325659,6873.008096652726,6878.2959787278705,6883.488081722881,6888.585993923671
Revenue Semiconductors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20811.551724129662,21502.86008522711,24190.528846153844,27085.890243902435,27843.310829481507,29928.277319308243,31686.434742084493,31943.33041981864,32897.927012050546,33155.154889689125,33342.55223224159,33459.59751091456,33505.7847884018,33480.42385751807,33383.25171572669,34443.94887449194,35507.926799936584,35586.66380845409,35664.19667999371,35740.53797222481,35815.70031987677,35889.696425625785,35962.53905124375,36034.24100900853,36104.815153374715,36174.274372903536,36242.631582450274,36309.89971560726,36376.0917174001,36441.22053723493
Revenue Aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94263.75,93622.5,92981.25,107058.7849400037,120933.95702483143,133656.13203451634,146548.9357210842,143993.8232249432,141902.22793454133,139392.51849960533,137312.62065929535,134844.5181115608,134882.32340058737,134549.4771881687,134592.89313477892,134281.37431294163,134329.86741215666,134038.35068291865,134091.42852691846,133818.68146784508,133875.88916612792,133620.76426167123,133681.68124059564,133443.1087435722,133507.34587836865,133284.32740143314,133351.5244402549
Revenue Silicon Carbide Fiber,0.0,0.0,0.0,0.0,8020.0,7245.0,8026.09375,8778.28125,8824.308357065103,9391.788628269365,10239.11431951752,10974.656169671243,11821.349568516182,12422.118462795683,13007.680825526058,13180.195067169472,12938.299893486164,12946.607458854716,12963.4056963328,13374.057086846205,14172.012029703043,14723.239642685261,15193.71143691861,15304.718841117508,15005.691615720829,15013.789740770093,15003.984612593315,15011.74582159094,15002.369168218142,14975.292368516231,14966.250000000002,14966.250000000002,14966.250000000002,14966.249999999998,14966.250000000004,14966.250000000002,14966.250000000002,14966.250000000002,14966.250000000004,14966.250000000002
Revenue Silicon Carbide Powder,0.0,0.0,0.0,0.0,5002.0,15000.12,20000.0032,28588.75,30176.875000000004,30970.875,31373.473599129844,32584.42615665568,32254.767643323656,33874.84967662011,34935.93512242584,36588.20951130508,37643.52330955432,37729.36089548614,37975.676310785384,38166.297813249,38277.7149645416,38309.92353705022,38262.89098134126,38136.44473604293,37930.79306631025,39040.22569128449,40024.25,40024.25000000001,40024.25,40024.25,40024.25000000001,40024.25,40024.25,40024.25,40024.25000000001,40024.25000000001,40024.25,40024.25,40024.25,40024.25000000001
Revenue Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74461.25,73412.5,72363.75,77265.0,81991.25,86542.5,90918.75,89520.0,89016.16310392329,87640.03166510026,86346.90251566074,90202.03157425253,95549.9232363266,100673.4179920454,105784.92401404164,105768.39394819146,105737.64109901465,105722.2115970215,105693.90708984058,105679.46817595873,105653.3532712543,105639.80921771126,105615.65884051175,105602.9259851373,105580.54358625638,105568.54853209955,105547.76184423879,105536.43996630049,105517.0974808432,105506.39168121232,105488.35970882315
Revenue UHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94263.75,95489.6156782472,93802.2764926761,108774.07905775917,122119.41632806681,135327.167933449,147952.31680052614,145796.45249467914,143643.94561206998,141489.36853848782,139337.7987016409,137184.40688920007,137177.10163199482,137167.90775212375,137160.94572691992,137152.2528462523,137145.61285863674,137137.38594477542,137131.04856487006,137123.2556748494,137117.20305475633,137109.81501035843,137104.03072345973,137097.02082559772,137091.48972476798,137084.833501661,137079.54159389163
Revenue Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0032,20000.000064,22300.0,22300.0,22300.0,22300.0,22300.0,22300.0,22300.0,22300.0,22300.0,22300.0,22300.0,22300.0
Revenue B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0032,20000.000064,25625.0,25625.0,25625.0,25625.0,25625.0,25625.0,25625.0,25625.0,25625.0,25625.0,25625.0,25625.0
Revenue WC_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0032,20000.000064,40000.000002559995,40000.0000000512,60000.00000000153,60000.00000000003,80000.0,80000.0,100000.0,100000.0,120000.0,120000.0,140000.0,140000.0
Anchor Leads,1.25,1.25,1.25,1.25,2.25,2.25,1.5,1.5,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads Defense,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads Nuclear,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads Semiconductors,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Leads Aviation,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active Projects,0.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Active Projects Defense,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active Projects Nuclear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active Projects Semiconductors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Active Projects Aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Clients,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,5.0,8.0,8.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Anchor Clients Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Anchor Clients Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Anchor Clients Semiconductors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Anchor Clients Aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Other Leads,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.5,6.5,6.5,7.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Other Leads Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Leads Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Leads Semiconductors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Leads Aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Clients,0.0,0.0,3.0,9.0,12.0,18.0,21.0,27.0,30.0,36.0,39.0,45.0,49.0,55.0,59.0,63.0,65.0,69.0,71.0,75.0,77.0,81.0,83.0,87.0,92.0,96.0,101.0,103.0,107.0,109.0,113.0,115.0,119.0,121.0,125.0,127.0,131.0,133.0,137.0,139.0
Other Clients Silicon Carbide Fiber,0.0,0.0,1.0,3.0,4.0,6.0,7.0,9.0,10.0,12.0,13.0,15.0,16.0,18.0,19.0,21.0,22.0,24.0,25.0,27.0,28.0,30.0,31.0,33.0,34.0,36.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
Other Clients Silicon Carbide Powder,0.0,0.0,2.0,6.0,8.0,12.0,14.0,18.0,20.0,24.0,26.0,30.0,32.0,36.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
Other Clients Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,6.0,6.0,8.0,8.0,10.0,10.0,12.0,12.0,14.0,14.0,16.0,16.0,18.0,18.0,20.0,20.0,22.0,22.0,24.0,24.0,26.0
Other Clients UHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,10.0,11.0,11.0,12.0,12.0,13.0,13.0,14.0,14.0
Other Clients Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0
Other Clients B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0
Other Clients WC_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0
Order Basket,0.0,0.0,0.0,13.005199999999999,39.000312,52.00000831999999,78.00000024959999,91.000000005824,317.0000000001498,660.0000000000033,1101.0,1907.0,2198.16,3266.72320032,3431.8576640064,4106.9748172802565,4413.094393625605,4709.716201498112,4992.870523960075,5174.667934375276,5288.301293061514,5392.887318922707,5510.4650653011595,5619.074366607183,5740.755853939327,5859.550971978113,5985.501990457677,6108.652030248014,6233.045070852206,6357.725972269235,6486.74049171462,6616.135301548911,6749.958007579889,6884.257167731488,7023.082311086118,7162.483957307841,7306.513636453998,7451.223909183078,7600.668387366739,7750.901755114074
Order Basket Silicon Carbide Fiber,0.0,0.0,0.0,3.0012,9.000072,12.000001919999999,18.000000057599998,21.000000001344,227.00000000003456,410.00000000000074,608.5,1097.0,1169.6599999999999,1634.6032,1691.835264,1851.64196928,1893.5348086656002,1933.145504838912,1976.4884149356903,2017.5781832344042,2062.429746899092,2105.0583418370743,2151.479508673816,2195.709098847292,2243.763280824238,2289.6585464407226,2339.4117173695377,2387.039951716928,2432.560750751267,2478.991965766292,2526.351805081618,2574.6588411832504,2623.9320180069153,2674.190658367054,2725.454471534395,2777.743560965083,2831.078432184385,2885.4800008280727,2940.9696008446335,2997.5689928615266
Order Basket Silicon Carbide Powder,0.0,0.0,0.0,10.004,30.00024,40.0000064,60.000000192,70.00000000448,90.00000000011521,100.00000000000256,320.00000000000006,360.0,550.0,768.0,826.16,1014.4832000000001,1230.972864,1277.79232128,1464.9481677056,1490.447131059712,1516.4560736809062,1542.9851951545245,1570.0448990576149,1597.6457970387673,1625.7987129795426,1654.5146872391335,1683.8049809839163,1713.6810806035946,1744.1547022156665,1775.2377962599799,1806.9425521851795,1839.281403228883,1872.2670312934608,1905.91237191933,1940.2306193577167,1975.235231744871,2010.9399363797688,2047.358735107364,2084.5059098095116,2122.3960280057017
Order Basket Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,172.5,450.0,478.5,762.12,796.8624,936.849648,965.5867209600001,984.6983753792001,1014.192341318784,1034.0761880811597,1064.3577118415158,1085.0448660783077,1116.145763399873,1137.6686786678706,1169.622052241228,1192.0144932860526,1224.8547831517737,1248.1518788148092,1281.9149163911054,1306.1532147189275,1340.876279013306,1366.0938045935723,1401.8156806854436,1428.0519942991527,1464.8130341851356,1492.1092948688383,1529.9514807662151,1558.3505103815396,1597.3175205891703,1626.8638710009538
Order Basket UHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.00000032,117.00000000639999,304.000000000256,323.0000000000051,514.0800000000002,537.2416000000001,632.566432,645.05776064,659.7989158528001,672.7948941698561,688.0507920532532,701.5718078943182,717.3632440522045,731.4305089332487,747.7791191119137,762.414701494152,779.3429955240351,794.5698554345158,812.1012525432061,827.9432775940702,846.1021431459516,862.5841860088707,881.3958697290481,898.5437871236292,918.0346628661018,935.8753561234238,956.0728632458923
Order Basket Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00000032,2.0000000064,4.000000000256,4.00000000000512,6.000000000000153,6.000000000000003,8.0,8.0,10.0,10.0,12.0,12.0,14.0,14.0,16.0
Order Basket B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00000032,2.0000000064,4.000000000256,4.00000000000512,6.000000000000153,6.000000000000003,8.0,8.0,10.0,10.0,12.0,12.0,14.0,14.0,16.0
Order Basket WC_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00000032,2.0000000064,4.000000000256,4.00000000000512,6.000000000000153,6.000000000000003,8.0,8.0,10.0,10.0,12.0,12.0,14.0,14.0,16.0
Order Delivery,0.0,0.0,0.0,0.0,11.006499999999999,30.920240000000003,41.0356314,58.32875,61.530324447608685,68.97723848376926,71.60963334603359,76.11110080097747,77.79844137207695,86.98679877162529,89.90688196405199,93.92728219998551,97.13860696954187,100.61984153763593,104.59362421150703,108.6739757887041,112.30859124152298,115.95163376454705,119.57197060734671,123.14109375276541,126.30751410984004,129.47606070663818,138.28444795932353,138.28331895695638,141.0728704766545,141.0665488220381,143.06374056939606,143.06173445800516,145.0603985453539,145.0585280966727,147.05726667362072,147.05551937649884,149.0543264660199,149.05269127318755,151.05156153926796,151.0500286635398
Order Delivery Silicon Carbide Fiber,0.0,0.0,0.0,0.0,1.0025,0.92,1.035625,1.15125,1.1765744476086804,1.2522384837692486,1.3652152426023358,1.4632874892894991,1.5761799424688243,1.6843550458028045,1.794162872486353,1.8498519392518558,1.8483285562123093,1.8495153512649594,1.8519150994761142,1.9105795838351722,2.0245731471004347,2.141562129845129,2.250920212876831,2.3101462401686805,2.3085679408801276,2.309813806272322,2.308305325014356,2.309499357167837,2.3080567951104833,2.303891133617882,2.3025,2.3025,2.3025,2.3024999999999998,2.3025000000000007,2.3025,2.3025,2.3025,2.3025000000000007,2.3025
Order Delivery Silicon Carbide Powder,0.0,0.0,0.0,0.0,10.004,30.00024,40.0000064,57.1775,60.353750000000005,63.53,66.04941810343125,70.45281331168796,71.67726142960812,75.27744372582248,77.63541138316853,81.30713224734463,83.65227402123183,86.23853918968261,89.35453249596561,92.5243583351491,95.694287411354,98.86431880529089,102.03437595024336,105.20398547873913,108.37369447517214,111.54350197509854,114.355,114.35500000000002,114.35499999999999,114.355,114.35500000000002,114.355,114.355,114.355,114.35500000000002,114.35500000000002,114.355,114.355,114.35499999999999,114.35500000000002
Order Delivery Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.195,4.195,4.195,4.545,4.895,5.245,5.595,5.595,5.651819879614177,5.654195591296792,5.662091968240048,6.013468771616835,6.369994882421774,6.711561199469694,7.052328267602776,7.051226263212764,7.049176073267644,7.048147439801433,7.046260472656038,7.045297878397248,7.043556884750286,7.042653947847417,7.0410439227007835,7.04019506567582,7.038702905750425,7.037903235473303,7.036517456282586,7.035762664420033,7.034473165389546,7.033759445414154,7.032557313921544
Order Delivery UHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13,5.232307708397107,5.1752980133890265,6.043004392097732,6.8799671170741865,7.732981024768514,8.576945901479776,8.576261911451715,8.575757946989253,8.575113244756837,8.574633766254824,8.574025430575004,8.573568851999676,8.572994234507734,8.572559107932495,8.572015802890768,8.571600803664797,8.571086621548464,8.570690535304378,8.570203479678089,8.569825190922272,8.569363438147402,8.569001920216232,8.568563801599858,8.568218107797998,8.567802093853812,8.567471349618227
Order Delivery Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00000032,2.0000000064,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23
Order Delivery B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00000032,2.0000000064,2.5625,2.5625,2.5625,2.5625,2.5625,2.5625,2.5625,2.5625,2.5625,2.5625,2.5625,2.5625
Order Delivery WC_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00000032,2.0000000064,4.000000000256,4.00000000000512,6.000000000000153,6.000000000000003,8.0,8.0,10.0,10.0,12.0,12.0,14.0,14.0
